Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Magic Gamma Telescope,-65343.63 $\pm$ 264.89,-65343.63 $\pm$ 264.89,-59272.29 $\pm$ 338.27,-14189.92 $\pm$ 676.12,-58222.40 $\pm$ 377.32,-57964.25 $\pm$ 360.05,-56124.22 $\pm$ 215.65,-62266.18 $\pm$ 214.71,-62266.18 $\pm$ 214.71,-52669.74 $\pm$ 225.66,-9524.96 $\pm$ 762.05,-52546.08 $\pm$ 203.51,-51989.10 $\pm$ 199.58,-50835.91 $\pm$ 160.21,-62266.18 $\pm$ 214.71,-62266.18 $\pm$ 214.71,-52394.91 $\pm$ 236.21,-9493.02 $\pm$ 761.43,-52048.70 $\pm$ 217.64,-53098.03 $\pm$ 277.25,-51990.94 $\pm$ 280.27,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Mammographic Mass,-1124.37 $\pm$ 1019.32,-1124.72 $\pm$ 1019.91,-1107.57 $\pm$ 1029.18,-370.86 $\pm$ 197.66,-1123.83 $\pm$ 1085.08,-1113.41 $\pm$ 1048.30,-788.54 $\pm$ 208.87,-3505.28 $\pm$ 9139.87,-3499.73 $\pm$ 9139.65,-3527.07 $\pm$ 9138.77,-314.77 $\pm$ 216.23,-3537.60 $\pm$ 9140.42,-3373.46 $\pm$ 8723.89,-535.19 $\pm$ 201.13,-2933.49 $\pm$ 7736.03,-2928.16 $\pm$ 7736.08,-2955.47 $\pm$ 7742.10,-318.16 $\pm$ 200.35,-2969.22 $\pm$ 7741.69,-2296.19 $\pm$ 5559.84,-570.22 $\pm$ 195.23,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Occupancy Detection,-24518.17 $\pm$ 199.71,-24518.17 $\pm$ 199.71,-21490.04 $\pm$ 243.28,-31960.07 $\pm$ 633.60,-21184.25 $\pm$ 250.05,-33036.33 $\pm$ 28356.34,-16846.05 $\pm$ 175.34,-19833.46 $\pm$ 131.70,-19833.46 $\pm$ 131.70,-16379.78 $\pm$ 132.87,-23901.22 $\pm$ 1974.65,-15457.06 $\pm$ 92.60,-14201.03 $\pm$ 88.56,-14217.39 $\pm$ 73.78,-19833.46 $\pm$ 131.70,-19833.46 $\pm$ 131.70,-16379.78 $\pm$ 132.87,-23901.22 $\pm$ 1974.65,-15362.87 $\pm$ 120.97,-12728.83 $\pm$ 1577.15,-11248.47 $\pm$ 320.45,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Page Blocks Classification,-26884.47 $\pm$ 1489.81,-26884.47 $\pm$ 1489.81,-25463.21 $\pm$ 1966.94,-239655.33 $\pm$ 20851.92,-25306.27 $\pm$ 2792.30,-25869.71 $\pm$ 3799.93,-22096.64 $\pm$ 357.69,-26642.63 $\pm$ 9381.40,-26642.63 $\pm$ 9381.40,-24419.74 $\pm$ 7274.55,-298758.31 $\pm$ 21688.02,-23704.31 $\pm$ 6042.78,-23584.72 $\pm$ 5946.23,-20228.57 $\pm$ 229.32,-27752.55 $\pm$ 9100.98,-27752.55 $\pm$ 9100.98,-25415.01 $\pm$ 7035.61,-261154.86 $\pm$ 25717.67,-24694.22 $\pm$ 5839.53,-26457.07 $\pm$ 8806.33,-20694.88 $\pm$ 342.63,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Parkinson's,320.28 $\pm$ 66.36,319.91 $\pm$ 66.20,-499.31 $\pm$ 63.56,-618.29 $\pm$ 297.12,-484.61 $\pm$ 61.69,-466.66 $\pm$ 68.50,885.49 $\pm$ 54.19,382.33 $\pm$ 58.37,381.89 $\pm$ 58.28,539.32 $\pm$ 38.02,-1102.49 $\pm$ 620.65,539.93 $\pm$ 35.74,554.21 $\pm$ 40.87,594.70 $\pm$ 29.66,377.52 $\pm$ 59.83,377.10 $\pm$ 59.69,610.20 $\pm$ 48.68,-725.37 $\pm$ 377.05,608.59 $\pm$ 45.40,-433.13 $\pm$ 56.33,905.43 $\pm$ 52.93,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Pen Digits,-78958.41 $\pm$ 344.47,-78958.41 $\pm$ 344.47,-75075.50 $\pm$ 432.38,-872597.36 $\pm$ 17813.55,-72791.37 $\pm$ 475.56,-68455.62 $\pm$ 647.76,-65365.08 $\pm$ 234.24,-74612.92 $\pm$ 1988.40,-74612.92 $\pm$ 1988.40,-72752.92 $\pm$ 1551.30,-1216296.85 $\pm$ 27690.13,-75549.18 $\pm$ 1226.12,-72039.58 $\pm$ 2302.47,-62717.92 $\pm$ 119.46,-75505.34 $\pm$ 2056.85,-75505.34 $\pm$ 2056.85,-71351.56 $\pm$ 1803.70,-964350.11 $\pm$ 32178.76,-70320.16 $\pm$ 1369.94,-67289.22 $\pm$ 831.47,-62953.24 $\pm$ 170.45,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Rice,-9535.72 $\pm$ 59.00,-9535.72 $\pm$ 59.00,-7421.96 $\pm$ 57.92,-2444.03 $\pm$ 62.97,-6915.49 $\pm$ 175.07,-5711.64 $\pm$ 73.09,-5584.19 $\pm$ 70.85,-9479.22 $\pm$ 56.11,-9479.22 $\pm$ 56.11,-7932.52 $\pm$ 36.48,-3793.48 $\pm$ 258.80,-7901.20 $\pm$ 79.27,-7479.54 $\pm$ 24.12,-7437.05 $\pm$ 27.29,-9480.29 $\pm$ 59.39,-9480.29 $\pm$ 59.39,-7342.83 $\pm$ 60.82,-2701.01 $\pm$ 136.97,-6848.92 $\pm$ 174.32,-5638.99 $\pm$ 76.24,-5512.44 $\pm$ 72.04,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
User Knowledge Modeling,-7.54 $\pm$ 10.39,-7.54 $\pm$ 10.39,8.99 $\pm$ 9.98,-3797.75 $\pm$ 429.94,7.86 $\pm$ 10.46,8.73 $\pm$ 9.74,17.63 $\pm$ 7.76,10.79 $\pm$ 8.40,10.79 $\pm$ 8.40,22.87 $\pm$ 7.14,-6519.65 $\pm$ 1029.39,19.14 $\pm$ 7.45,24.17 $\pm$ 6.96,33.46 $\pm$ 5.04,10.26 $\pm$ 8.98,10.26 $\pm$ 8.98,20.85 $\pm$ 8.33,-5480.83 $\pm$ 907.07,17.06 $\pm$ 9.96,22.28 $\pm$ 8.46,32.20 $\pm$ 6.60,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Vertebral Column,-766.64 $\pm$ 40.47,-766.64 $\pm$ 40.47,-744.12 $\pm$ 51.18,-1536.26 $\pm$ 536.57,-748.81 $\pm$ 71.20,-1352.74 $\pm$ 50.76,-301.77 $\pm$ 59.83,-790.57 $\pm$ 116.98,-790.57 $\pm$ 116.98,-762.15 $\pm$ 101.24,-3094.11 $\pm$ 1028.63,-773.06 $\pm$ 143.93,-762.63 $\pm$ 126.76,-743.32 $\pm$ 117.78,-780.69 $\pm$ 90.41,-780.69 $\pm$ 90.41,-756.80 $\pm$ 90.80,-1549.64 $\pm$ 557.29,-763.04 $\pm$ 119.84,-326.45 $\pm$ 80.37,-313.12 $\pm$ 95.25,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Waveform Generator,-17800.47 $\pm$ 96.60,-17800.32 $\pm$ 96.60,-16705.04 $\pm$ 72.91,-14760.42 $\pm$ 267.43,-16459.50 $\pm$ 71.38,-16191.30 $\pm$ 69.28,-16048.96 $\pm$ 64.21,-17804.89 $\pm$ 86.80,-17804.13 $\pm$ 86.70,-16782.51 $\pm$ 68.26,-17861.58 $\pm$ 472.99,-16646.61 $\pm$ 65.11,-16613.58 $\pm$ 68.83,-16256.08 $\pm$ 59.34,-17795.74 $\pm$ 93.55,-17795.61 $\pm$ 93.65,-16702.43 $\pm$ 72.80,-14770.35 $\pm$ 268.99,-16457.43 $\pm$ 71.63,-16191.57 $\pm$ 70.90,-16046.28 $\pm$ 63.76,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Website Phishing,-1373.48 $\pm$ 22.73,-1374.04 $\pm$ 22.99,-1371.06 $\pm$ 23.19,-1549.66 $\pm$ 61.23,-1364.75 $\pm$ 24.58,-1313.18 $\pm$ 21.78,-1246.07 $\pm$ 16.73,-309.26 $\pm$ 14.80,-298.35 $\pm$ 16.81,-439.97 $\pm$ 14.96,-2210.22 $\pm$ 99.41,-528.44 $\pm$ 23.30,-287.59 $\pm$ 15.23,-197.81 $\pm$ 12.68,-309.26 $\pm$ 14.80,-297.41 $\pm$ 16.81,-439.97 $\pm$ 14.96,-2210.22 $\pm$ 99.41,-523.97 $\pm$ 21.50,-409.95 $\pm$ 76.88,-299.43 $\pm$ 36.70,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Wholesale Customers,-2778.96 $\pm$ 121.47,-2774.38 $\pm$ 116.73,-2714.93 $\pm$ 137.07,-406.49 $\pm$ 271.44,-2711.90 $\pm$ 133.24,-2710.18 $\pm$ 132.60,-2648.37 $\pm$ 123.87,-2764.67 $\pm$ 382.29,-2737.00 $\pm$ 379.36,-2718.91 $\pm$ 333.00,-610.17 $\pm$ 469.30,-2716.81 $\pm$ 324.93,-2736.68 $\pm$ 384.03,-2590.06 $\pm$ 196.24,-2767.36 $\pm$ 292.18,-2738.99 $\pm$ 285.78,-2668.24 $\pm$ 206.92,-448.04 $\pm$ 302.20,-2685.96 $\pm$ 244.00,-2679.28 $\pm$ 289.45,-2613.10 $\pm$ 195.97,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
Wine,-341.21 $\pm$ 22.59,-341.21 $\pm$ 22.59,-322.04 $\pm$ 22.76,-1153.90 $\pm$ 86.59,-319.43 $\pm$ 21.75,-322.79 $\pm$ 22.52,-322.10 $\pm$ 22.86,-333.19 $\pm$ 20.61,-333.19 $\pm$ 20.61,-319.57 $\pm$ 24.54,-1619.02 $\pm$ 181.64,-320.44 $\pm$ 28.60,-320.24 $\pm$ 25.91,-317.12 $\pm$ 22.99,-334.14 $\pm$ 22.22,-334.14 $\pm$ 22.22,-317.33 $\pm$ 24.27,-1169.96 $\pm$ 88.47,-317.53 $\pm$ 22.87,-317.10 $\pm$ 22.75,-316.23 $\pm$ 22.52,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan,nan $\pm$ nan
