Dataset,G-NB,G-SNB,G-TAN,G-AODE,G-$k$DB,G-BAN,G-BM,KDE-NB,KDE-SNB,KDE-TAN,KDE-AODE,KDE-$k$DB,KDE-BAN,KDE-BM,SP-NB,SP-SNB,SP-TAN,SP-AODE,SP-$k$DB,SP-BAN,SP-BM,LR,SVM-RBF,MLP,$k$-NN,DT
Algerian Forest Fires,0.95 $\pm$ 0.04,0.95 $\pm$ 0.04,0.97 $\pm$ 0.03,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.94 $\pm$ 0.04,0.94 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.94 $\pm$ 0.05,0.94 $\pm$ 0.04,0.94 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.05,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.95 $\pm$ 0.04,0.98 $\pm$ 0.03,0.81 $\pm$ 0.08,0.56 $\pm$ 0.20,0.91 $\pm$ 0.05,0.97 $\pm$ 0.03
Banknote Authentication,0.84 $\pm$ 0.04,0.84 $\pm$ 0.04,0.97 $\pm$ 0.02,0.94 $\pm$ 0.02,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.01,0.99 $\pm$ 0.01,0.91 $\pm$ 0.03,0.91 $\pm$ 0.03,0.98 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,0.99 $\pm$ 0.01,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,1.00 $\pm$ 0.00,0.98 $\pm$ 0.01
Blood Transfusion,0.76 $\pm$ 0.03,0.76 $\pm$ 0.03,0.67 $\pm$ 0.21,0.77 $\pm$ 0.03,0.74 $\pm$ 0.11,0.69 $\pm$ 0.19,0.74 $\pm$ 0.06,0.77 $\pm$ 0.03,0.76 $\pm$ 0.03,0.77 $\pm$ 0.01,0.77 $\pm$ 0.02,0.77 $\pm$ 0.01,0.77 $\pm$ 0.01,0.77 $\pm$ 0.02,0.77 $\pm$ 0.03,0.76 $\pm$ 0.03,0.66 $\pm$ 0.22,0.78 $\pm$ 0.03,0.75 $\pm$ 0.11,0.70 $\pm$ 0.19,0.73 $\pm$ 0.06,0.77 $\pm$ 0.03,0.76 $\pm$ 0.01,0.74 $\pm$ 0.04,0.76 $\pm$ 0.03,0.72 $\pm$ 0.04
Breast Cancer,0.93 $\pm$ 0.03,0.93 $\pm$ 0.03,0.95 $\pm$ 0.02,0.94 $\pm$ 0.02,0.96 $\pm$ 0.02,0.95 $\pm$ 0.02,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.94 $\pm$ 0.03,0.95 $\pm$ 0.02,0.94 $\pm$ 0.03,0.94 $\pm$ 0.03,0.94 $\pm$ 0.03,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.95 $\pm$ 0.02,0.95 $\pm$ 0.02,0.96 $\pm$ 0.02,0.95 $\pm$ 0.02,0.95 $\pm$ 0.03,0.95 $\pm$ 0.03,0.92 $\pm$ 0.04,0.94 $\pm$ 0.03,0.93 $\pm$ 0.03,0.93 $\pm$ 0.03
Breast Cancer Coimbra,0.62 $\pm$ 0.13,0.62 $\pm$ 0.12,0.63 $\pm$ 0.13,0.64 $\pm$ 0.13,0.62 $\pm$ 0.13,0.63 $\pm$ 0.13,0.62 $\pm$ 0.14,0.67 $\pm$ 0.13,0.68 $\pm$ 0.14,0.68 $\pm$ 0.12,0.68 $\pm$ 0.14,0.67 $\pm$ 0.13,0.66 $\pm$ 0.13,0.67 $\pm$ 0.13,0.66 $\pm$ 0.14,0.67 $\pm$ 0.14,0.65 $\pm$ 0.13,0.67 $\pm$ 0.13,0.63 $\pm$ 0.14,0.64 $\pm$ 0.15,0.60 $\pm$ 0.14,0.73 $\pm$ 0.15,0.54 $\pm$ 0.07,0.66 $\pm$ 0.13,0.50 $\pm$ 0.14,0.72 $\pm$ 0.11
Breast Cancer Wisconsin,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.95 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.96 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.97 $\pm$ 0.02,0.98 $\pm$ 0.01,0.95 $\pm$ 0.02
Ecoli,0.86 $\pm$ 0.06,0.86 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.06,0.87 $\pm$ 0.06,0.20 $\pm$ 0.06,0.38 $\pm$ 0.31,0.26 $\pm$ 0.07,0.26 $\pm$ 0.06,0.29 $\pm$ 0.06,0.23 $\pm$ 0.06,0.86 $\pm$ 0.05,0.86 $\pm$ 0.06,0.87 $\pm$ 0.06,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.87 $\pm$ 0.05,0.83 $\pm$ 0.05,0.88 $\pm$ 0.05,0.82 $\pm$ 0.05,0.88 $\pm$ 0.05,0.81 $\pm$ 0.06
Electrical Grid Stability,0.82 $\pm$ 0.01,0.82 $\pm$ 0.01,0.85 $\pm$ 0.01,0.83 $\pm$ 0.01,0.86 $\pm$ 0.01,0.86 $\pm$ 0.02,0.80 $\pm$ 0.06,0.81 $\pm$ 0.01,0.81 $\pm$ 0.01,0.84 $\pm$ 0.01,0.83 $\pm$ 0.01,0.86 $\pm$ 0.01,0.82 $\pm$ 0.02,0.87 $\pm$ 0.01,0.81 $\pm$ 0.01,0.81 $\pm$ 0.01,0.84 $\pm$ 0.01,0.83 $\pm$ 0.01,0.86 $\pm$ 0.01,0.87 $\pm$ 0.03,0.82 $\pm$ 0.06,0.82 $\pm$ 0.01,0.89 $\pm$ 0.01,0.96 $\pm$ 0.01,0.79 $\pm$ 0.01,0.85 $\pm$ 0.01
Glass,0.53 $\pm$ 0.09,0.53 $\pm$ 0.09,0.56 $\pm$ 0.08,0.57 $\pm$ 0.08,0.58 $\pm$ 0.09,0.57 $\pm$ 0.09,0.60 $\pm$ 0.09,0.56 $\pm$ 0.08,0.56 $\pm$ 0.08,0.60 $\pm$ 0.09,0.59 $\pm$ 0.08,0.60 $\pm$ 0.09,0.59 $\pm$ 0.09,0.57 $\pm$ 0.11,0.55 $\pm$ 0.09,0.55 $\pm$ 0.09,0.59 $\pm$ 0.10,0.59 $\pm$ 0.09,0.60 $\pm$ 0.09,0.59 $\pm$ 0.11,0.60 $\pm$ 0.10,0.67 $\pm$ 0.08,0.55 $\pm$ 0.08,0.39 $\pm$ 0.10,0.68 $\pm$ 0.08,0.72 $\pm$ 0.09
HTRU2,0.95 $\pm$ 0.00,0.95 $\pm$ 0.00,0.95 $\pm$ 0.00,0.96 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.00,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00
Haberman's Survival,0.74 $\pm$ 0.05,0.74 $\pm$ 0.05,0.74 $\pm$ 0.06,0.74 $\pm$ 0.05,0.75 $\pm$ 0.05,0.74 $\pm$ 0.05,0.75 $\pm$ 0.06,0.72 $\pm$ 0.04,0.71 $\pm$ 0.04,0.72 $\pm$ 0.05,0.74 $\pm$ 0.05,0.73 $\pm$ 0.06,0.72 $\pm$ 0.04,0.74 $\pm$ 0.06,0.72 $\pm$ 0.03,0.71 $\pm$ 0.04,0.71 $\pm$ 0.05,0.72 $\pm$ 0.04,0.73 $\pm$ 0.04,0.72 $\pm$ 0.04,0.73 $\pm$ 0.07,0.74 $\pm$ 0.05,0.72 $\pm$ 0.03,0.76 $\pm$ 0.06,0.71 $\pm$ 0.08,0.65 $\pm$ 0.08
Iris,0.95 $\pm$ 0.05,0.95 $\pm$ 0.05,0.97 $\pm$ 0.05,0.98 $\pm$ 0.04,0.97 $\pm$ 0.05,0.98 $\pm$ 0.04,0.98 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.04,0.96 $\pm$ 0.05,0.96 $\pm$ 0.05,0.96 $\pm$ 0.05,0.96 $\pm$ 0.04,0.96 $\pm$ 0.05,0.96 $\pm$ 0.05,0.97 $\pm$ 0.05,0.97 $\pm$ 0.04,0.97 $\pm$ 0.05,0.97 $\pm$ 0.05,0.98 $\pm$ 0.04,0.97 $\pm$ 0.04,0.97 $\pm$ 0.04,0.98 $\pm$ 0.03,0.97 $\pm$ 0.04,0.95 $\pm$ 0.05
Magic Gamma Telescope,0.73 $\pm$ 0.01,0.73 $\pm$ 0.01,0.76 $\pm$ 0.01,0.75 $\pm$ 0.01,0.77 $\pm$ 0.01,0.78 $\pm$ 0.01,0.78 $\pm$ 0.01,0.75 $\pm$ 0.01,0.75 $\pm$ 0.01,0.80 $\pm$ 0.01,0.79 $\pm$ 0.01,0.80 $\pm$ 0.01,0.81 $\pm$ 0.01,0.81 $\pm$ 0.01,0.75 $\pm$ 0.01,0.75 $\pm$ 0.01,0.81 $\pm$ 0.01,0.79 $\pm$ 0.01,0.80 $\pm$ 0.01,0.80 $\pm$ 0.01,0.80 $\pm$ 0.01,0.79 $\pm$ 0.01,0.83 $\pm$ 0.01,0.84 $\pm$ 0.01,0.81 $\pm$ 0.01,0.82 $\pm$ 0.01
Mammographic Mass,0.81 $\pm$ 0.04,0.80 $\pm$ 0.04,0.81 $\pm$ 0.04,0.81 $\pm$ 0.04,0.80 $\pm$ 0.04,0.81 $\pm$ 0.04,0.81 $\pm$ 0.04,0.83 $\pm$ 0.04,0.83 $\pm$ 0.04,0.82 $\pm$ 0.04,0.82 $\pm$ 0.05,0.81 $\pm$ 0.05,0.82 $\pm$ 0.05,0.82 $\pm$ 0.04,0.81 $\pm$ 0.04,0.82 $\pm$ 0.04,0.81 $\pm$ 0.05,0.81 $\pm$ 0.04,0.79 $\pm$ 0.05,0.81 $\pm$ 0.04,0.80 $\pm$ 0.06,0.83 $\pm$ 0.04,0.79 $\pm$ 0.04,0.80 $\pm$ 0.04,0.81 $\pm$ 0.04,0.77 $\pm$ 0.05
Occupancy Detection,0.97 $\pm$ 0.00,0.97 $\pm$ 0.00,0.98 $\pm$ 0.01,0.97 $\pm$ 0.00,0.99 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.98 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00,0.99 $\pm$ 0.01,0.99 $\pm$ 0.00,0.99 $\pm$ 0.00
Page Blocks Classification,0.91 $\pm$ 0.02,0.91 $\pm$ 0.02,0.92 $\pm$ 0.01,0.93 $\pm$ 0.01,0.93 $\pm$ 0.01,0.92 $\pm$ 0.01,0.93 $\pm$ 0.01,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,0.95 $\pm$ 0.01,0.95 $\pm$ 0.01,0.95 $\pm$ 0.01,0.95 $\pm$ 0.01,0.95 $\pm$ 0.01,0.93 $\pm$ 0.02,0.93 $\pm$ 0.02,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,0.94 $\pm$ 0.01,0.94 $\pm$ 0.02,0.94 $\pm$ 0.01,0.96 $\pm$ 0.01,0.93 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01,0.96 $\pm$ 0.01
